ID,Titre,Année,Genres,Note,Votes,Titre Français,Nom du/des Réalisateur(s)
tt0065446,The Ballad of Cable Hogue,1970,"Comedy,Drama,Romance",7.2,10760,Un nommé Cable Hogue,['Sam Peckinpah']
tt0065451,Barquero,1970,"Drama,Western",6.3,2131,Barquero,['Gordon Douglas']
tt0065457,Beg,1971,"Drama,History,War",7.8,1293,La fuite,"['Aleksandr Alov', 'Vladimir Naumov']"
tt0065462,Beneath the Planet of the Apes,1970,"Action,Adventure,Sci-Fi",6.0,54932,Le Secret de la planète des singes,['Ted Post']
tt0065466,Beyond the Valley of the Dolls,1970,"Comedy,Drama,Music",6.1,12310,Orgissimo,['Russ Meyer']
tt0065466,Beyond the Valley of the Dolls,1970,"Comedy,Drama,Music",6.1,12310,Hollywood Vixens,['Russ Meyer']
tt0065466,Beyond the Valley of the Dolls,1970,"Comedy,Drama,Music",6.1,12310,Hollywood Vixens au lait,['Russ Meyer']
tt0065466,Beyond the Valley of the Dolls,1970,"Comedy,Drama,Music",6.1,12310,La vallée des plaisirs,['Russ Meyer']
tt0065470,Bigfoot,1970,"Horror,Sci-Fi,Thriller",2.7,1010,,['Robert F. Slatzer']
tt0065478,Blood Mania,1970,Horror,4.0,1108,,"[""Robert Vincent O'Neil""]"
tt0065481,Bloody Mama,1970,"Crime,Drama",5.7,3939,Bloody Mama,['Roger Corman']
tt0065486,Borsalino,1970,"Crime,Drama",6.8,5206,Marseille 1930,['Jacques Deray']
tt0065486,Borsalino,1970,"Crime,Drama",6.8,5206,Borsalino,['Jacques Deray']
tt0065488,The Boys in the Band,1970,Drama,7.6,6106,Les Garçons de la Bande,['William Friedkin']
tt0065489,Brancaleone at the Crusades,1970,"Adventure,Fantasy,History",7.2,2044,Brancaleone s'en va-t-aux croisades,['Mario Monicelli']
tt0065489,Brancaleone at the Crusades,1970,"Adventure,Fantasy,History",7.2,2044,Brancaleone,['Mario Monicelli']
